RUNID,EVENTID,START,EVENTMJD,ENERGY,FAR,SIGNAL
126308,20883844,"2015-04-28 14:10:43.746,000,183,3 UTC",57140.59078409722,112.5,2.39,0.34
126370,61611641,"2015-05-15 22:35:50.906,211,072,9 UTC",57157.94156141448,422.7,0.5,0.786
126405,50771014,"2015-05-26 00:24:27.042,891,484,9 UTC",57168.016979663094,111.6,3.81,0.298
126423,50123696,"2015-06-01 00:26:11.855,960,514,6 UTC",57174.01819277732,109.3,3.19,0.286
126456,1581608,"2015-06-09 00:38:11.482,894,862,8 UTC",57182.026521792766,127.3,3.14,0.329
126456,35956042,"2015-06-09 04:19:25.308,069,617,8 UTC",57182.18015402858,123.6,3.29,0.322
126514,73786337,"2015-06-25 15:21:31.300,386,537,0 UTC",57198.63994560632,115.4,3.66,0.303
126515,20091930,"2015-06-25 17:33:30.830,767,791,0 UTC",57198.73160683759,159.6,1.4,0.481
126620,19175993,"2015-07-14 21:49:59.497,097,061,5 UTC",57217.909716401584,461.0,0.42,0.849
126717,29833358,"2015-08-12 07:37:34.478,866,445,5 UTC",57246.31776017207,134.5,1.07,0.457
126718,53509959,"2015-08-12 18:13:05.354,731,593,8 UTC",57246.75908975384,540.9,0.3,0.844
126769,62990844,"2015-08-23 14:56:32.404,915,579,2 UTC",57257.622597279114,143.1,2.4,0.369
126798,67205547,"2015-08-31 05:13:39.252,827,933,2 UTC",57265.21781542625,187.4,0.55,0.596
126812,38566267,"2015-09-04 18:13:54.694,688,446,8 UTC",57269.759660818156,325.6,0.48,0.763
126848,8902133,"2015-09-14 20:59:54.298,333,248,5 UTC",57279.87493400848,129.1,1.18,0.445
126860,17477746,"2015-09-18 13:05:49.606,747,902,5 UTC",57283.545713041065,108.3,3.72,0.295
126863,14025085,"2015-09-19 04:56:09.442,840,281,2 UTC",57284.20566484769,243.0,0.49,0.692
126878,30560694,"2015-09-23 00:38:34.723,763,534,8 UTC",57288.0267907843,152.8,2.51,0.364
126911,6416344,"2015-09-26 21:37:42.834,747,163,4 UTC",57291.90119021698,155.5,1.65,0.417
126976,9961785,"2015-10-13 02:59:09.282,165,075,9 UTC",57308.12441298802,161.9,0.19,0.532
126989,59479399,"2015-10-17 16:13:03.035,247,877,5 UTC",57312.67572957463,343.4,0.65,0.772
127112,69211097,"2015-11-14 20:57:49.022,482,583,3 UTC",57340.87348405651,1188.4,0.27,0.96
127154,9907321,"2015-11-22 12:45:31.067,754,912,2 UTC",57348.531609580496,272.1,0.46,0.659
127357,17650073,"2016-01-04 10:39:08.061,718,963,6 UTC",57391.44384330693,231.0,0.77,0.59
127495,54505431,"2016-01-28 04:24:10.787,820,832,0 UTC",57415.18345819237,625.8,294.59,0.003
127603,48070937,"2016-02-25 21:07:46.048,055,884,6 UTC",57443.880394074724,195.3,0.15,0.61
127650,18431575,"2016-03-07 16:43:11.247,718,771,5 UTC",57454.69665795971,109.4,2.82,0.297
127742,55820225,"2016-03-31 13:33:50.815,208,951,0 UTC",57478.56517147233,522.4,0.43,0.866
127790,45902607,"2016-04-10 17:37:41.041,108,382,4 UTC",57488.734502790605,141.3,2.06,0.385
127853,67093193,"2016-04-27 05:52:32.241,010,580,4 UTC",57505.24481760429,74.8,6.24,0.192
127910,25056152,"2016-05-10 15:56:05.517,623,352,3 UTC",57518.66395275027,173.4,1.61,0.442
128034,69069846,"2016-06-12 10:25:22.907,263,310,7 UTC",57551.43429290814,109.8,4.21,0.264
128065,17929326,"2016-06-14 12:37:43.353,524,802,5 UTC",57553.526196221355,115.3,0.77,0.429
128067,65335330,"2016-06-15 09:42:12.380,383,776,6 UTC",57554.40430995815,157.3,1.51,0.432
128209,54386016,"2016-07-07 04:01:52.756,417,580,3 UTC",57576.1679717178,113.8,3.81,0.295
128253,44251618,"2016-07-20 21:55:28.812,314,298,1 UTC",57589.913527920304,111.6,1.86,0.386
128278,49218472,"2016-07-27 08:15:33.434,618,536,2 UTC",57596.34413697475,108.4,2.66,0.314
128290,6888376,"2016-07-31 01:55:03.535,065,466,3 UTC",57600.07990202622,107.4,4.51,0.27
128292,15195696,"2016-07-31 18:50:13.555,234,873,3 UTC",57600.78487911152,127.1,1.93,0.404
128311,26552458,"2016-08-06 12:21:32.803,195,004,7 UTC",57606.51496299994,233.2,0.69,0.601
128334,9739548,"2016-08-12 16:25:10.852,722,546,2 UTC",57612.68415338799,166.3,0.15,0.546
128340,58537957,"2016-08-14 21:45:54.074,801,217,7 UTC",57614.90687586575,442.6,299.19,0.001
128547,14557367,"2016-09-24 17:47:08.158,133,761,9 UTC",57655.74106664507,198.6,1.1,0.532
128567,21044380,"2016-10-01 10:32:23.868,419,239,2 UTC",57662.43916514374,217.2,0.32,0.659
128606,54200591,"2016-10-12 14:42:06.646,628,563,8 UTC",57673.61257692857,809.9,0.9,0.252
128632,62194858,"2016-10-21 07:25:17.915,508,163,5 UTC",57682.309235133194,145.4,1.3,0.454
128651,44166050,"2016-10-27 13:40:21.218,826,605,6 UTC",57688.56969003272,161.2,1.97,0.395
128672,38561326,"2016-11-03 09:07:31.126,582,483,0 UTC",57695.380221372485,73.9,5.2,0.209
128755,32356079,"2016-11-17 07:58:04.213,432,981,8 UTC",57709.33199321103,197.2,1.13,0.528
128785,76992952,"2016-11-25 10:19:24.426,350,156,2 UTC",57717.4301438235,167.5,1.73,0.426
128796,26367207,"2016-11-27 15:57:14.402,641,516,1 UTC",57719.66475003057,149.3,0.32,0.477
128906,80127519,"2016-12-10 20:06:40.314,168,289,1 UTC",57732.83796659917,61.1,8.04,0.171
128967,17750653,"2016-12-24 12:53:48.201,660,262,5 UTC",57746.53736344514,149.5,1.73,0.441
129020,20626582,"2017-01-05 03:24:22.107,200,077,3 UTC",57758.14192253704,208.0,0.95,0.556
129144,66284903,"2017-02-06 13:10:32.441,185,185,6 UTC",57790.54898658779,145.2,0.88,0.482
129153,11436007,"2017-02-08 03:04:29.923,171,534,3 UTC",57792.12812411078,158.0,1.49,0.455
129154,45298080,"2017-02-08 14:17:08.109,663,651,7 UTC",57792.59523275074,143.6,2.85,0.347
129232,51118868,"2017-02-27 01:33:25.265,803,436,4 UTC",57811.064875761615,111.4,3.55,0.284
129267,34234803,"2017-03-08 22:11:49.334,925,440,8 UTC",57820.924876561636,110.6,3.98,0.269
129307,80305071,"2017-03-21 07:32:20.697,662,629,4 UTC",57833.31412844517,240.3,188.91,0.004
129420,59928529,"2017-04-22 15:29:49.188,642,179,0 UTC",57865.645708201875,167.4,1.7,0.413
129434,58903823,"2017-04-27 07:31:46.026,137,486,0 UTC",57870.31372715437,160.6,1.97,0.402
129506,21161807,"2017-05-14 04:11:27.697,179,860,7 UTC",57887.17462612477,112.8,2.37,0.357
129506,49650572,"2017-05-14 07:12:13.042,209,517,7 UTC",57887.3001509515,180.3,0.76,0.572
129550,51402681,"2017-05-27 01:40:16.773,943,351,2 UTC",57900.06963858731,133.2,1.2,0.441
129654,8332254,"2017-06-21 04:35:20.519,171,465,6 UTC",57925.19120971263,112.2,1.89,0.385
129677,55886338,"2017-06-26 12:27:48.911,702,167,3 UTC",57930.51931610766,213.1,0.91,0.567
129701,49353375,"2017-07-04 07:01:20.847,774,332,2 UTC",57938.29260240479,202.0,0.76,0.626
129777,67372962,"2017-07-17 19:37:25.741,942,350,4 UTC",57951.817659050255,568.2,0.27,0.873
129855,33565191,"2017-08-03 02:00:44.449,898,457,2 UTC",57968.08384779975,221.2,0.86,0.574
129878,40814378,"2017-08-09 14:19:45.950,548,223,0 UTC",57974.597059612825,240.1,0.61,0.62
129915,72252401,"2017-08-19 06:37:09.484,478,608,7 UTC",57984.2758042185,173.4,1.1,0.531
129933,32926212,"2017-08-24 13:17:24.069,387,498,1 UTC",57989.5537508031,182.1,1.09,0.511
130033,50579430,"2017-09-22 20:54:30.436,262,545,1 UTC",58018.87118560489,284.3,0.5,0.652
130034,7858514,"2017-09-23 00:30:40.352,771,216,4 UTC",58019.021300379296,215.4,0.78,0.586
130092,30964247,"2017-10-06 07:23:14.655,445,300,1 UTC",58032.3078085121,126.9,2.1,0.388
130126,56068624,"2017-10-15 01:34:30.065,615,123,1 UTC",58041.06562575943,28.9,25.54,0.006
130172,52824390,"2017-10-28 18:21:16.528,905,453,3 UTC",58054.76477464011,143.9,2.68,0.356
130214,17569642,"2017-11-06 18:39:39.214,416,858,6 UTC",58063.777537203896,1674.0,0.18,0.978
130561,84363835,"2018-01-17 18:03:10.563,721,161,2 UTC",58135.75220559863,69.3,9.31,0.153
130588,44934051,"2018-01-23 16:14:58.627,895,971,1 UTC",58141.6770674525,436.6,0.49,0.804
130597,55489144,"2018-01-25 23:25:03.522,657,344,3 UTC",58143.97573521594,113.4,1.97,0.382
130639,37366501,"2018-02-05 00:06:04.630,977,052,5 UTC",58154.00422026594,132.6,0.94,0.229
130684,80612787,"2018-02-13 09:04:03.910,795,928,8 UTC",58162.37782304162,116.0,3.58,0.297
130743,25740057,"2018-02-28 13:44:15.715,178,672,0 UTC",58177.57240411086,133.7,1.18,0.443
130797,67186364,"2018-03-13 16:17:09.350,761,624,6 UTC",58190.67858044863,167.7,1.69,0.416
130801,16289732,"2018-03-14 19:17:42.474,658,097,9 UTC",58191.803963827064,154.6,2.31,0.378
130807,3160265,"2018-03-16 05:49:26.002,924,527,5 UTC",58193.24266207089,162.7,1.86,0.411
130912,76035104,"2018-04-10 18:38:35.054,751,117,7 UTC",58218.77679461517,248.7,0.61,0.622
130932,35022693,"2018-04-17 06:41:03.494,152,258,0 UTC",58225.2785126638,213.8,0.72,0.598
131096,32665194,"2018-05-28 12:09:00.393,219,788,4 UTC",58266.506254551154,112.9,3.88,0.293
131134,60192271,"2018-06-08 14:19:31.856,250,296,8 UTC",58277.59689648438,164.8,1.78,0.417
131145,43542963,"2018-06-12 04:34:10.301,490,794,8 UTC",58281.190397007995,110.3,4.17,0.266
131165,9342044,"2018-06-13 23:34:35.937,879,225,8 UTC",58282.98236039212,161.4,1.44,0.437
131360,57649537,"2018-08-07 04:51:19.876,356,776,2 UTC",58337.20231338376,109.3,2.93,0.293
131475,34507973,"2018-09-08 19:59:31.847,987,856,1 UTC",58369.83300749986,102.3,4.6,0.264
131477,57977901,"2018-09-09 14:30:01.485,787,609,9 UTC",58370.60418386328,177.3,0.8,0.552
131519,27561842,"2018-09-19 01:33:47.241,951,888,4 UTC",58380.06513011518,153.8,0.99,0.498
131602,39194539,"2018-10-08 18:42:20.660,304,052,6 UTC",58399.779405790556,111.4,4.04,0.282
131624,12296708,"2018-10-14 11:52:19.071,653,414,2 UTC",58405.49466518118,22.1,1062.18,0.0
131653,53411354,"2018-10-23 16:37:32.652,155,769,5 UTC",58414.69273902958,252.9,46.43,0.019
131653,63430929,"2018-10-23 17:39:45.658,130,443,5 UTC",58414.73594511725,148.5,1.47,0.452
