Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
128334,9739548,87.00,48.68,2.04,1.91,1.36,1.43,2.04,1.91,1.36,1.43,5.704665306536805,20.313462542585402
128340,58537957,198.11,-32.49,0.68,0.73,0.41,0.44,0.68,0.73,0.41,0.44,0.7846716331207855,2.545459078891504
128547,14557367,240.51,1.72,0.46,0.45,0.63,0.62,0.46,0.45,0.63,0.62,0.8809619229257338,3.009489553209285
128567,21044380,193.01,37.45,1.06,1.01,0.55,0.59,1.06,1.01,0.55,0.59,1.4287452651315344,4.830047274343727
128606,54200591,188.66,-8.23,0.92,0.82,1.10,1.02,0.92,0.82,1.10,1.02,2.7967108173570003,8.906776621076155
128632,62194858,121.95,23.56,0.32,0.36,0.25,0.30,0.32,0.36,0.25,0.30,0.26577069166698936,0.9299694883346885
128651,44166050,118.96,2.01,0.46,0.61,0.65,0.97,0.46,0.61,0.65,0.97,1.217248473853681,4.230388378499199
128672,38561326,41.79,13.17,0.48,0.54,0.48,0.34,0.48,0.54,0.48,0.34,0.6385513053055338,2.347723598639497
128755,32356079,77.87,1.42,0.69,0.54,0.66,0.55,0.69,0.54,0.66,0.55,1.181273071086472,4.090778338945565
128785,76992952,141.24,-0.30,0.40,0.46,0.39,0.34,0.40,0.46,0.39,0.34,0.4765106476424918,1.6951729350661682
128796,26367207,241.36,71.32,36.14,4.39,3.15,2.52,36.14,4.39,3.15,2.52,13.365062173815053,40.95610311146859
128906,80127519,46.80,15.09,0.29,0.32,0.30,0.32,0.29,0.32,0.30,0.32,0.280929220784351,0.9428726924874152
128967,17750653,62.31,18.17,0.37,0.63,0.49,0.40,0.37,0.63,0.49,0.40,0.6524997200532735,2.182051594139953
129020,20626582,311.70,7.93,0.31,0.35,0.39,0.32,0.31,0.35,0.39,0.32,0.3619055620277336,1.2416919729364049
129144,66284903,179.25,32.80,0.50,0.52,0.56,0.53,0.50,0.52,0.56,0.53,0.6940055091639106,2.554730713543518
129153,11436007,100.68,16.41,0.57,0.58,0.42,0.36,0.57,0.58,0.42,0.36,0.6568513618034949,2.2999900937992805
129154,45298080,92.29,4.37,0.74,0.58,0.52,0.46,0.74,0.58,0.52,0.46,0.9868306927415005,3.3766336604517435
129232,51118868,204.57,4.56,0.75,0.79,0.35,0.44,0.75,0.79,0.35,0.44,0.9418905035765707,3.4966521543781024
129267,34234803,156.01,5.64,0.55,0.47,0.31,0.36,0.55,0.47,0.31,0.36,0.5185613024111989,1.7527348060113956
129307,80305071,97.87,-14.25,0.44,0.45,0.35,0.51,0.44,0.45,0.35,0.51,0.5713079474330758,1.9252326122225627
129420,59928529,240.91,5.53,1.12,1.05,0.45,0.36,1.12,1.05,0.45,0.36,1.2971428406074201,4.221669088512132
129434,58903823,4.39,-0.48,0.44,0.46,0.26,0.29,0.44,0.46,0.26,0.29,0.3910583354419843,1.2975574692186909
129506,21161807,311.84,18.60,0.27,0.30,0.27,0.32,0.27,0.30,0.27,0.32,0.2532167287689993,0.8580500230035993
129506,49650572,226.41,30.26,0.61,0.66,0.52,0.59,0.61,0.66,0.52,0.59,0.8944591648564226,3.0686175799962627
129550,51402681,179.38,27.45,0.55,0.46,0.48,0.98,0.55,0.46,0.48,0.98,0.8026192900010406,2.564689822092696
129654,8332254,74.40,25.94,0.75,0.86,0.52,0.57,0.75,0.86,0.52,0.57,1.240230268424029,4.272828179876075
129677,55886338,281.03,9.52,0.51,0.61,0.34,0.37,0.51,0.61,0.34,0.37,0.552167155521628,1.922551924790642
129701,49353375,230.41,23.40,0.65,0.44,0.38,0.44,0.65,0.44,0.38,0.44,0.612391968070525,2.0356384074037166
129777,67372962,208.04,23.64,0.75,0.83,0.50,0.49,0.75,0.83,0.50,0.49,1.0446162344700485,3.5868337215326154
129855,33565191,0.09,4.74,2.19,0.62,0.30,0.27,2.19,0.62,0.30,0.27,0.6547934377600105,3.001126425963792
129878,40814378,21.75,-2.91,0.33,0.60,0.43,0.32,0.33,0.60,0.43,0.32,0.4429268732571824,1.393343340988381
129915,72252401,27.25,18.72,0.29,0.24,0.26,0.29,0.29,0.24,0.26,0.29,0.21915980987166583,0.7485222915334921
129933,32926212,38.06,10.84,3.04,2.17,1.92,0.56,3.04,2.17,1.92,0.56,6.996036948341571,19.601927958303083
130033,50579430,77.48,6.05,0.29,0.31,0.25,0.27,0.29,0.31,0.25,0.27,0.24163767418441792,0.8308118888398662
130034,7858514,172.75,-2.69,0.28,0.25,0.25,0.27,0.28,0.25,0.25,0.27,0.21415075194945207,0.7252400935604204
130092,30964247,132.50,17.35,0.52,0.46,0.49,0.42,0.52,0.46,0.49,0.42,0.6586567193914782,2.243036052416773
130126,56068624,162.99,-15.64,0.70,0.57,0.22,0.27,0.70,0.57,0.22,0.27,0.4221805342348698,1.5047285077008183
130172,52824390,294.83,1.04,0.28,0.29,0.38,0.33,0.28,0.29,0.38,0.33,0.31250858087352607,1.101520604331898
130214,17569642,340.36,7.41,0.17,0.12,0.17,0.17,0.17,0.12,0.17,0.17,0.07587076962902199,0.23791183526563994
#130220,11599241,269.47,-20.62,0.10,0.09,0.07,0.11,0.10,0.09,0.07,0.11,0.021814461411901485,0.07265802622960578
130561,84363835,206.28,3.73,0.44,0.39,0.26,0.30,0.44,0.39,0.26,0.30,0.3560344784982975,1.1306252229348073
130588,44934051,74.49,11.03,0.57,0.68,0.33,0.22,0.57,0.68,0.33,0.22,0.5054942447507266,1.7752948656644345
130597,55489144,207.69,23.68,0.24,0.23,0.15,0.21,0.24,0.23,0.15,0.21,0.11109076425880351,0.37514508046346245
130639,37366501,17.31,-10.50,0.34,0.32,0.26,0.26,0.34,0.32,0.26,0.26,0.2654304303139492,0.8834452101287636
130684,80612787,66.80,5.87,0.34,0.34,0.35,0.37,0.34,0.34,0.35,0.37,0.3824337221401335,1.3032003292611967
130743,25740057,295.36,26.53,0.31,0.34,0.26,0.25,0.31,0.34,0.26,0.25,0.22893398276176002,0.7478611127828202
130797,67186364,287.27,5.75,0.31,0.25,0.25,0.25,0.31,0.25,0.25,0.25,0.21834444013165286,0.7095267961829662
130801,16289732,58.01,0.56,0.41,0.52,0.32,0.27,0.41,0.52,0.32,0.27,0.4153193487872549,1.377358630274914
130807,3160265,271.89,-1.79,0.28,0.29,0.31,0.30,0.28,0.29,0.31,0.30,0.2749626054710604,0.9140638742310915
